"VALUE_TYPE","VALUE_CODE","VALUE_DESCRIPTION"
"CONTAMINANT_CODE","1065","Tot Extractable Hydrocarbons-Waste Oil"
"CONTAMINANT_CODE","1066","pH, CaCO3 Stability S.U."
"CONTAMINANT_CODE","1067","Alkalinity, CaCO3 Stability"
"CONTAMINANT_CODE","1068","Acidity, Total (CaCO3)"
"CONTAMINANT_CODE","1069","Acidity, M.O. (CaCO3)"
"CONTAMINANT_CODE","1070","Residue, Total"
"CONTAMINANT_CODE","1071","Residue, Settleable (by Weight)"
"CONTAMINANT_CODE","1072","PHOSPHORUS, SOLUBLE"
"CONTAMINANT_CODE","1073","Phosphate, Reactive"
"CONTAMINANT_CODE","1074","Antimony, Total"
"CONTAMINANT_CODE","1075","Beryllium, Total"
"CONTAMINANT_CODE","1076","COD mg/l"
"CONTAMINANT_CODE","1077","Residue, Nonfilterable, Volatile"
"CONTAMINANT_CODE","1078","Bismuth, Total"
"CONTAMINANT_CODE","1079","Boron, Total"
"CONTAMINANT_CODE","1080","CHROMIUM, HEX"
"CONTAMINANT_CODE","1081","Cobalt, Total"
"CONTAMINANT_CODE","1082","Iron, Dissolved"
"CONTAMINANT_CODE","1083","Lithium, Total"
"CONTAMINANT_CODE","1084","Molybdenum, Total"
"CONTAMINANT_CODE","1085","Thallium, Total"
"CONTAMINANT_CODE","1086","Tin, Total"
"CONTAMINANT_CODE","1087","Titanium, Total"
"CONTAMINANT_CODE","1088","Vanadium, Total"
"CONTAMINANT_CODE","1089","MBAS - FOAMING AGENTS (SURFACTANTS)"
"CONTAMINANT_CODE","1090","Oil-Grease, Total"
"CONTAMINANT_CODE","1091","BOD, 5-DAY, MG/L"
"CONTAMINANT_CODE","1092","TOD mg/l"
"CONTAMINANT_CODE","1093","Phosphorus, Total"
"CONTAMINANT_CODE","1094","Asbestos"
"CONTAMINANT_CODE","1095","Zinc"
"CONTAMINANT_CODE","1096","OZONE"
"CONTAMINANT_CODE","1901","Carbon dioxide"
"CONTAMINANT_CODE","1902","Carbon disulfide"
"CONTAMINANT_CODE","1905","Color"
"CONTAMINANT_CODE","1910","Corrosivity"
"CONTAMINANT_CODE","1914","Calcium Hardness"
"CONTAMINANT_CODE","1915","Hardness, Total (as CaC03)"
"CONTAMINANT_CODE","1916","Hardness, Carbonate"
"CONTAMINANT_CODE","1917","Hardness, Noncarbonate"
"CONTAMINANT_CODE","1918","Hardness, Calcium Magnesium"
"CONTAMINANT_CODE","1919","Calcium"
"CONTAMINANT_CODE","1920","Odor"
"CONTAMINANT_CODE","1925","pH"
"CONTAMINANT_CODE","1927","Alkalinity, Total"
"CONTAMINANT_CODE","1928","Alkalinity, Bicarbonate"
"CONTAMINANT_CODE","1929","Alkalinity, Carbonate"
"CONTAMINANT_CODE","1930","TDS"
"CONTAMINANT_CODE","1931","Alkalinity, Phenolphthalein"
"CONTAMINANT_CODE","1993","Stability Index"
"CONTAMINANT_CODE","1994","Aggressive Index"
"CONTAMINANT_CODE","1995","Scale Forming"
"CONTAMINANT_CODE","1996","Temperature (Centigrade)"
"CONTAMINANT_CODE","1997","LANGELIER INDEX (PH(S))"
"CONTAMINANT_CODE","1998","Saturation Index"
"CONTAMINANT_CODE","1999","Note:  (Reserved by MSIS)"
"CONTAMINANT_CODE","2***","ALL NIPDWR ORGANIC CONTAMINANTS"
"CONTAMINANT_CODE","2004","Alachlor ESA"
"CONTAMINANT_CODE","2005","Endrin"
"CONTAMINANT_CODE","2006","DESETHYLATRAZINE"
"CONTAMINANT_CODE","2007","DES-ISOPROPYL-ATRAZINE"
"CONTAMINANT_CODE","2009","4,4â€™-DDE"
"CONTAMINANT_CODE","2010","BHC-GAMMA"
"CONTAMINANT_CODE","2015","Methoxychlor"
"CONTAMINANT_CODE","2020","Toxaphene"
"CONTAMINANT_CODE","2021","Carbaryl"
"CONTAMINANT_CODE","2022","Methomyl"
"CONTAMINANT_CODE","2023","BAYGON"
"CONTAMINANT_CODE","2024","Methiocarb"
"CONTAMINANT_CODE","2027","Acetochlor"
"CONTAMINANT_CODE","2028","Paraquat"
"CONTAMINANT_CODE","2029","PROMETON"
"CONTAMINANT_CODE","2030","p-Isopropyltoluene"
"CONTAMINANT_CODE","2031","Dalapon"
"CONTAMINANT_CODE","2032","Diquat"
"CONTAMINANT_CODE","2033","Endothall"
"CONTAMINANT_CODE","2034","Glyphosate"
"CONTAMINANT_CODE","2035","Di(2-ethylhexyl) adipate"
"CONTAMINANT_CODE","2036","OXAMYL"
"CONTAMINANT_CODE","2037","Simazine"
"CONTAMINANT_CODE","2038","PAHs"
"CONTAMINANT_CODE","2039","Di(2-ethylhexyl) phthalate"
"CONTAMINANT_CODE","2040","Picloram"
"CONTAMINANT_CODE","2041","Dinoseb"
"CONTAMINANT_CODE","2042","Hexachlorocyclopentadiene"
"CONTAMINANT_CODE","2043","Aldicarb sulfoxide"
"CONTAMINANT_CODE","2044","Aldicarb sulfone"
"CONTAMINANT_CODE","2045","Metolachlor"
"CONTAMINANT_CODE","2046","Carbofuran"
"CONTAMINANT_CODE","2047","Aldicarb"
"CONTAMINANT_CODE","2048","Hypochlorite Ion"
"CONTAMINANT_CODE","2049","1,4-Dioxane"
"CONTAMINANT_CODE","2050","Atrazine"
"CONTAMINANT_CODE","2051","LASSO"
"CONTAMINANT_CODE","2052","EPTC"
"CONTAMINANT_CODE","2053","SUTAN"
"CONTAMINANT_CODE","2054","CYANAZINE"
"CONTAMINANT_CODE","2055","Trifluralin"
"CONTAMINANT_CODE","2056","SPECTRACIDE"
"CONTAMINANT_CODE","2057","CHLOROPYRIFOS"
"CONTAMINANT_CODE","2058","Malathion"
"CONTAMINANT_CODE","2059","GUTHION"
"CONTAMINANT_CODE","2060","ISOFENPHOS"
"CONTAMINANT_CODE","2061","Trithion"
"CONTAMINANT_CODE","2062","Ethion"
"CONTAMINANT_CODE","2063","2,3,7,8-TCDD"
"CONTAMINANT_CODE","2064","PARATHION (ETHYL)"
"CONTAMINANT_CODE","2065","Heptachlor"
"CONTAMINANT_CODE","2066","3-Hydroxycarbofuran"
"CONTAMINANT_CODE","2067","Heptachlor epoxide"
"CONTAMINANT_CODE","2068","Endosulfan I"
"CONTAMINANT_CODE","2069","PARA-PARA DDE"
"CONTAMINANT_CODE","2392","Aroclor 1232"
"CONTAMINANT_CODE","2394","Aroclor 1242"
"CONTAMINANT_CODE","2396","Aroclor 1248"
"CONTAMINANT_CODE","2398","Aroclor 1254"
"CONTAMINANT_CODE","2399","PCB 1262"
"CONTAMINANT_CODE","2400","Aroclor 1260"
"CONTAMINANT_CODE","2401","Dichlorobenzenes, Total"
"CONTAMINANT_CODE","2402","ALLYL CHLORIDE"
"TRIBAL_CODE","A13","Native Village of Chignik"
"TRIBAL_CODE","A14","Cheesh-Na Tribe"
"REFERENCE_POINT_CODE","011","LIQUID WASTE TREATMENT UNIT"
"TRIBAL_CODE","A15","Native Village of Chitina"
"TRIBAL_CODE","A16","Village of Clarks Point"
"TRIBAL_CODE","A17","Curyung Tribal Council"
"TRIBAL_CODE","A18","Egegik Village"
"TRIBAL_CODE","A19","Eklutna Native Village"
"TRIBAL_CODE","A20","Native Village of Ekuk"
"TRIBAL_CODE","A21","Ekwok Village"
"TRIBAL_CODE","A22","Native Village of Eyak"
"TRIBAL_CODE","A23","Native Village of False Pass"
"TRIBAL_CODE","A24","Native Village of Gakona"
"TRIBAL_CODE","A25","Gulkana Village"
"TRIBAL_CODE","A26","Igiugig Village"
"TRIBAL_CODE","A27","Village of Iliamna"
"TRIBAL_CODE","A28","Ivanoff Bay Village"
"TRIBAL_CODE","A29","Kaguyak Village"
"TRIBAL_CODE","A30","Native Village of Kanatak"
"TRIBAL_CODE","A31","Native Village of Karluk"
"TRIBAL_CODE","A32","Kenaitze Indian Tribe"
"TRIBAL_CODE","A33","King Salmon Tribe"
"TRIBAL_CODE","A34","Native Village of Kluti Kaah"
"TRIBAL_CODE","A35","Knik Tribe"
"TRIBAL_CODE","A36","Kokhanok Village"
"TRIBAL_CODE","A37","New Koliganek Village Council"
"TRIBAL_CODE","A38","Native Village of Larsen Bay"
"TRIBAL_CODE","A39","Native Village of Larsen Bay"
"TRIBAL_CODE","A40","Levelock Village"
"TRIBAL_CODE","A41","Manokotak Village"
"TRIBAL_CODE","A42","Mentasta Traditional Council"
"TRIBAL_CODE","A43","Naknek Native Village"
"TRIBAL_CODE","A44","Native Village of Nanwalek"
"TRIBAL_CODE","A45","Native Village of Nelson Lagoon"
"TRIBAL_CODE","A46","New Stuyahok Village"
"TRIBAL_CODE","A47","Newhalen Village"
"TRIBAL_CODE","A48","Native Village of Nikolski"
"TRIBAL_CODE","A49","Ninilchik Village"
"TRIBAL_CODE","A50","Nondalton Village"
"TRIBAL_CODE","A51","Village of Old Harbor"
"UNIT_OF_MEASURE","%LUM","Percent Luminance"
"UNIT_OF_MEASURE","%PUR","Percent Purity"
"UNIT_OF_MEASURE","ADMIU","ADMI Color Value"
"UNIT_OF_MEASURE","AGGR","Aggressive Index"
"UNIT_OF_MEASURE","C","Degrees Celsius"
"UNIT_OF_MEASURE","CM-1","Per Centimeter"
"UNIT_OF_MEASURE","CT","Contact Time"
"UNIT_OF_MEASURE","CU","Color Units"
"UNIT_OF_MEASURE","F","Degrees Farhrenheit"
"UNIT_OF_MEASURE","FTU","Flavor Threshold Units"
"UNIT_OF_MEASURE","L/MG-CM","Liter per Milligram-Centimeter"
"UNIT_OF_MEASURE","L/MG-M","Liter per Milligram-Meter"
"UNIT_OF_MEASURE","LANG","Langlier Index"
"UNIT_OF_MEASURE","LBS/CFT","Pounds per Cubic Foot"
"UNIT_OF_MEASURE","LBS/GAL","Pounds per Gallon"
"UNIT_OF_MEASURE","MFL","Million Fibers per Liter"
"UNIT_OF_MEASURE","MG/L","Milligrams per Liter"
"UNIT_OF_MEASURE","mg/L","Milligrams per Liter"
"UNIT_OF_MEASURE","MREM","Millirems"
"UNIT_OF_MEASURE","MREMY","Millirems per Year"
"UNIT_OF_MEASURE","NG/L","Nanogram per Liter"
"UNIT_OF_MEASURE","NM","Nanometer"
"UNIT_OF_MEASURE","NTU","Nephelometric Units"
"UNIT_OF_MEASURE","OBSVNS","Observations/field at 100 Power"
"UNIT_OF_MEASURE","PCI/L","Picocuries per Liter"
"UNIT_OF_MEASURE","PH","pH"
"UNIT_OF_MEASURE","RATIO","Ratio of Actual/Required TOC Removal"
"UNIT_OF_MEASURE","SU","Standard Units"
"UNIT_OF_MEASURE","TON","Threshold Odor Number"
"UNIT_OF_MEASURE","UG/L","Micrograms per Liter"
"UNIT_OF_MEASURE","UMHO/CM","Micromhos per Centimer"
"UNIT_OF_MEASURE","UNITS","Units"
"RULE_FAMILY_CODE","120","Surface Water Treatment Rules"
"RULE_FAMILY_CODE","130","Filter Backwash Rule"
"RULE_FAMILY_CODE","140","Groundwater Rule"
"RULE_FAMILY_CODE","210","Stage 1 Disinfectants and Disinfection Byproducts Rule"
"RULE_FAMILY_CODE","220","Stage 2 Disinfectants and Disinfection Byproducts Rule"
"RULE_FAMILY_CODE","230","Former Total Trihalomethane Rule"
"RULE_FAMILY_CODE","310","Volatile Organic Chemicals"
"RULE_FAMILY_CODE","320","Synthetic Organic Chemicals"
"RULE_FAMILY_CODE","330","Inorganic Chemicals"
"RULE_FAMILY_CODE","340","Radionuclides and Revised Rad Rule"
"RULE_FAMILY_CODE","350","Lead and Copper Rule"
"RULE_FAMILY_CODE","400","Other"
"RULE_FAMILY_CODE","500","Not Federally Regulated"
"RULE_GROUP_CODE","100","Microbials"
"RULE_GROUP_CODE","200","Disinfectants and Disinfection Byproducts Rule"
"RULE_GROUP_CODE","300","Chemicals"
"RULE_GROUP_CODE","400","Other"
"RULE_GROUP_CODE","500","Not Federally Regulated"
"RULE_CODE","110","Total Coliform Rule"
"RULE_CODE","121","Surface Water Treatment Rule"
"RULE_CODE","122","Interim and Long Term 1 Enhanced Surface Water Treatment Rule"
"RULE_CODE","123","Long Term 2 Enhanced Surface Water Treatment Rule"
"RULE_CODE","130","Filter Backwash Rule"
"RULE_CODE","140","Ground Water Rule"
"RULE_CODE","210","Stage 1 Disinfectants and Disinfection Byproducts Rule"
"RULE_CODE","220","Stage 2 Disinfectants and Disinfection Byproducts Rule"
"RULE_CODE","230","Former Total Trihalomethane Rule"
"RULE_CODE","310","Volatile Organic Chemicals"
"RULE_CODE","320","Synthetic Organic Chemicals"
"RULE_CODE","331","Nitrate Rule"
"RULE_CODE","332","Arsenic Rule"
"RULE_CODE","333","Inorganic Chemicals"
"RULE_CODE","340","Radionuclides and Revised Rad Rule"
"RULE_CODE","350","Lead and Copper Rule"
"RULE_CODE","410","Public Notice Rule and Revised PN Rule"
"RULE_CODE","420","Consumer Confidence Rule"
"RULE_CODE","430","Miscellaneous Other Rules"
"RULE_CODE","500","Not Federally Regulated"
"VERIFICATION_METHOD_CODE","001","Proximity to polygon centroid (county)"
"VERIFICATION_METHOD_CODE","002","Proximity to alternative facility coordinate"
"VERIFICATION_METHOD_CODE","003","Proximity to polygon centroid (other)"
"VERIFICATION_METHOD_CODE","004","Point in polygon (other)"
"VERIFICATION_METHOD_CODE","005","Point in polygon (county)"
"VERIFICATION_METHOD_CODE","006","Point in polygon (zip)"
"VERIFICATION_METHOD_CODE","007","Verified relative to map features (1:24,000)"
"VERIFICATION_METHOD_CODE","008","Verified relative to map features (1:100,000 or TIGER)"
"VERIFICATION_METHOD_CODE","009","Verified relative to map features (other)"
"VERIFICATION_METHOD_CODE","011","Ground truth conducted"
"VERIFICATION_METHOD_CODE","012","Proximity to polygon centroid (zip code)"
"VERIFICATION_METHOD_CODE","013","Point in bounding box (zip)"
"VERIFICATION_METHOD_CODE","014","Point in bounding box (county)"
"VERIFICATION_METHOD_CODE","015","Not Verified"
"VERT_COLL_METHOD_CODE","001","GPS CARRIER PHASE STATIC RELATIVE POSITIONING TECHNIQUE"
"VERT_COLL_METHOD_CODE","002","GPS CARRIER PHASE KINEMATIC RELATIVE POSITIONING TECHNIQUE"
"VERT_COLL_METHOD_CODE","003","GPS CODE MEASUREMENTS (PSEUDO RANGE) DIFFERENTIALLY CORRECTED"
"VERT_COLL_METHOD_CODE","004","GPS CODE MEASUREMENTS (PSEUDO RANGE) PRECISE POSITIONING SERVICE"
"VERT_COLL_METHOD_CODE","005","GPS CODE MEASUREMENTS (PSEUDO RANGE) STANDARD POSITIONING SERVICE (SA OFF)"
"VERT_COLL_METHOD_CODE","006","GPS CODE MEASUREMENTS (PSEUDO RANGE) STANDARD POSITIONING SERVICE (SA ON)"
"VERT_COLL_METHOD_CODE","007","CLASSICAL SURVEYING TECHNIQUES "
"VERT_COLL_METHOD_CODE","008","OTHER, UNSPECIFIED"
"VERT_COLL_METHOD_CODE","009","ALTIMETRY"
"VERT_COLL_METHOD_CODE","010","PRECISE LEVELING FROM A BENCHMARK"
"VERT_COLL_METHOD_CODE","011","LEVELING BETWEEN NON BENCHMARK CONTROL POINTS"
"VERT_COLL_METHOD_CODE","012","TRIGONOMETRIC LEVELING"
"VERT_COLL_METHOD_CODE","013","PHOTOGRAMMETRIC"
"VERT_COLL_METHOD_CODE","014","TOPOGRAPHIC MAP INTERPOLATION"
"VERT_REF_DATUM_CODE","001","NAVD 88"
"VERT_REF_DATUM_CODE","002","NGVD 29"
"VERT_REF_DATUM_CODE","003","ELEVATION FROM MEAN SEA-LEVEL"
"VERT_REF_DATUM_CODE","004","LOCAL TIDAL DATUM"
"VERT_REF_DATUM_CODE","U","UNKNOWN"
"VISIT_REASON_CODE","CAPD","Capacity Development Assessment"
"CONTAMINANT_CODE","1021","Hydroxide as Calcium Carbonate"
"CONTAMINANT_CODE","1022","COPPER, FREE"
"CONTAMINANT_CODE","1023","UNKNOWN"
"HORIZ_COLL_METHOD_CODE","004","ADDRESS MATCHING - NEAREST INTERSECTION"
"HORIZ_COLL_METHOD_CODE","005","ADDRESS MATCHING - PRIMARY NAME"
"HORIZ_COLL_METHOD_CODE","006","ADDRESS MATCHING - DIGITIZED"
"HORIZ_COLL_METHOD_CODE","007","ADDRESS MATCHING - OTHER"
"HORIZ_COLL_METHOD_CODE","008","CENSUS BLOCK - 1990 - CENTROID"
"HORIZ_COLL_METHOD_CODE","009","CENSUS BLOCK/GROUP - 1990 - CENTROID"
"HORIZ_COLL_METHOD_CODE","010","CENSUS BLOCK TRACT - 1990 - CENTROID"
"HORIZ_COLL_METHOD_CODE","011","CENSUS - OTHER"
"HORIZ_COLL_METHOD_CODE","012","GLOBAL POSITIONING SYSTEM (GPS) CARRIER PHASE STATIC RELATIVE POSITIONING"
"HORIZ_COLL_METHOD_CODE","013","GPS CARRIER PHASE KINEMATIC RELATIVE POSITIONINGTECHNIQUE"
"HORIZ_COLL_METHOD_CODE","014","GPS CODE MEASUREMENTS (PSEUDO RANGE) DIFFERENTIALLY CORRECTED"
"HORIZ_COLL_METHOD_CODE","015","GPS CODE MEASUREMENTS (PSEUDO RANGE) PRECISE POSITIONING SERVICE"
"HORIZ_COLL_METHOD_CODE","016","GPS CODE MEASUREMENTS (PSEUDO RANGE) STANDARD POSITIONING SERVICE SA OFF"
"HORIZ_COLL_METHOD_CODE","017","GPS CODE MEASUREMENTS (PSEUDO RANGE) STANDARD POSITIONING SERVICE SA ON"
"HORIZ_COLL_METHOD_CODE","018","INTERPOLATION - MAP"
"HORIZ_COLL_METHOD_CODE","019","INTERPOLATION - PHOTO"
"HORIZ_COLL_METHOD_CODE","020","INTERPOLATION - SATELLITE"
"HORIZ_COLL_METHOD_CODE","021","INTERPOLATION - OTHER"
"HORIZ_COLL_METHOD_CODE","022","LORAN C"
"HORIZ_COLL_METHOD_CODE","023","PUBLIC LAND SURVEY - QUARTER SECTION"
"HORIZ_COLL_METHOD_CODE","024","PUBLIC LAND SURVEY - SECTION"
"HORIZ_COLL_METHOD_CODE","025","CLASSICAL SURVEYING TECHNIQUES"
"HORIZ_COLL_METHOD_CODE","026","ZIP CODE - CENTROID"
"HORIZ_COLL_METHOD_CODE","027","UNKNOWN"
"HORIZ_COLL_METHOD_CODE","028","GPS - UNSPECIFIED"
"HORIZ_COLL_METHOD_CODE","029","GPS CODE MEASUREMENTS (PSEUDO RANGE) STANDARD POSITIONING SERVICE CORRECT"
"HORIZ_COLL_METHOD_CODE","030","INTERPOLATION - DIGITAL MAP SOURCE (TIGER)"
"HORIZ_COLL_METHOD_CODE","031","INTERPOLATION - SPOT"
"HORIZ_COLL_METHOD_CODE","032","INTERPOLATION - MSS (MULTI-SPECTRAL SCANNER)"
"HORIZ_COLL_METHOD_CODE","033","INTERPOLATION - TM (THEMATIC MAPPER)"
"HORIZ_COLL_METHOD_CODE","034","PUBLIC LAND SURVEY - EIGHTH SECTION"
"HORIZ_COLL_METHOD_CODE","035","PUBLIC LAND SURVEY - SIXTEENTH SECTION"
"HORIZ_COLL_METHOD_CODE","036","PUBLIC LAND SURVEY - FOOTING"
"HORIZ_COLL_METHOD_CODE","037","ZIP+4 CODE - CENTROID"
"HORIZ_COLL_METHOD_CODE","038","ZIP+2 CODE – CENTROID"
"HORIZ_REF_DATUM_CODE","001","NAD 27"
"HORIZ_REF_DATUM_CODE","002","NAD 83"
"HORIZ_REF_DATUM_CODE","003","WGS 84"
"HORIZ_REF_DATUM_CODE","004","Unknown"
"LT2_SCHEDULE_CAT_CODE","1","Schedule 1"
"AGENCY_TYPE_CODE","NULL","Unknown Agency Type"
"AGENCY_TYPE_CODE","AR","Alaskan Remote Village"
"AGENCY_TYPE_CODE","AT","Authority"
"AGENCY_TYPE_CODE","BR","Borough"
"AGENCY_TYPE_CODE","CM","Commission"
"AGENCY_TYPE_CODE","CN","County"
"AGENCY_TYPE_CODE","CT","City"
"AGENCY_TYPE_CODE","DS","District"
"AGENCY_TYPE_CODE","FD","Federal"
"AGENCY_TYPE_CODE","MN","Municipality"
"AGENCY_TYPE_CODE","NA","Native American Tribe"
"AGENCY_TYPE_CODE","PR","Parish"
"AGENCY_TYPE_CODE","RG","Region"
"AGENCY_TYPE_CODE","SA","State Administrative District"
"AGENCY_TYPE_CODE","SD","School District"
"AGENCY_TYPE_CODE","SR","State Administrative Region"
"AGENCY_TYPE_CODE","ST","State"
"AGENCY_TYPE_CODE","TW","Town"
"AGENCY_TYPE_CODE","WD","Water District"
"LT2_SCHEDULE_CAT_CODE","2","Schedule 2"
"LT2_SCHEDULE_CAT_CODE","3","Schedule 3"
"LT2_SCHEDULE_CAT_CODE","4","Schedule 4"
"LT2_SCHEDULE_CAT_CODE","5","Schedule 5"
"ORIGINATOR_CODE","F","ODSWeb"
"ORIGINATOR_CODE","H","Headquater"
"ORIGINATOR_CODE","R","Region"
"ORIGINATOR_CODE","S","State"
"OWNER_TYPE_CODE","F","Federal government"
"OWNER_TYPE_CODE","L","Local government"
"OWNER_TYPE_CODE","M","Public/Private"
"OWNER_TYPE_CODE","N","Native American"
"OWNER_TYPE_CODE","P","Private"
"OWNER_TYPE_CODE","S","State government"
"POP_CAT_11_CODE","1","<=100"
"POP_CAT_11_CODE","2","101-500"
"POP_CAT_11_CODE","3","501-1,000"
"POP_CAT_11_CODE","4","1,001-3,300"
"POP_CAT_11_CODE","5","3,301-10,000"
"POP_CAT_11_CODE","6","10,001-50,000"
"POP_CAT_11_CODE","7","50,001-100,000"
"POP_CAT_11_CODE","8","100,001-250,000"
"POP_CAT_11_CODE","9","250,001-500,000"
"POP_CAT_11_CODE","10","500,001-1,000,000"
"POP_CAT_11_CODE","11",">1,000,000"
"POP_CAT_2_CODE","1","<10,000"
"POP_CAT_2_CODE","2","10,000+"
"POP_CAT_3_CODE","1","<=3300"
"POP_CAT_3_CODE","2","3,301-50,000"
"POP_CAT_3_CODE","3",">50,000"
"POP_CAT_4_CODE","1","<10K"
"POP_CAT_4_CODE","2","10K-49,999"
"POP_CAT_4_CODE","3","50K-99,999"
"POP_CAT_4_CODE","4","100K+"
"POP_CAT_5_CODE","1","<=500"
"POP_CAT_5_CODE","2","501-3,300"
"POP_CAT_5_CODE","3","3,301-10,000"
"POP_CAT_5_CODE","4","10,001-100,000"
"POP_CAT_5_CODE","5",">100,000"
"PRIMACY_AGENCY_CODE","01","EPA Region 1"
"PRIMACY_AGENCY_CODE","02","EPA Region 2"
"PRIMACY_AGENCY_CODE","03","EPA Region 3"
"PRIMACY_AGENCY_CODE","04","EPA Region 4"
"PRIMACY_AGENCY_CODE","05","EPA Region 5"
"PRIMACY_AGENCY_CODE","06","EPA Region 6"
"PRIMACY_AGENCY_CODE","07","EPA Region 7"
"PRIMACY_AGENCY_CODE","08","EPA Region 8"
"PRIMACY_AGENCY_CODE","09","EPA Region 9"
"PRIMACY_AGENCY_CODE","10","EPA Region 10"
"PRIMACY_AGENCY_CODE","AK","Alaska"
"PRIMACY_AGENCY_CODE","AL","Alabama"
"PRIMACY_AGENCY_CODE","AR","Arkansas"
"PRIMACY_AGENCY_CODE","AS","American Samoa"
"PRIMACY_AGENCY_CODE","AZ","Arizona"
"PRIMACY_AGENCY_CODE","CA","California"
"PRIMACY_AGENCY_CODE","CO","Colorado"
"PRIMACY_AGENCY_CODE","CT","Connecticut"
"PRIMACY_AGENCY_CODE","DC","District of Columbia"
"PRIMACY_AGENCY_CODE","DE","Delaware"
"PRIMACY_AGENCY_CODE","FL","Florida"
"PRIMACY_AGENCY_CODE","GA","Georgia"
"PRIMACY_AGENCY_CODE","GU","Guam"
"PRIMACY_AGENCY_CODE","HI","Hawaii"
"PRIMACY_AGENCY_CODE","IA","Iowa"
"PRIMACY_AGENCY_CODE","ID","Idaho"
"PRIMACY_AGENCY_CODE","IL","Illinois"
"PRIMACY_AGENCY_CODE","IN","Indiana"
"PRIMACY_AGENCY_CODE","KS","Kansas"
"PRIMACY_AGENCY_CODE","KY","Kentucky"
"PRIMACY_AGENCY_CODE","LA","Louisiana"
"PRIMACY_AGENCY_CODE","MA","Massachusetts"
"PRIMACY_AGENCY_CODE","MD","Maryland"
"PRIMACY_AGENCY_CODE","ME","Maine"
"PRIMACY_AGENCY_CODE","MI","Michigan"
"PRIMACY_AGENCY_CODE","MN","Minnesota"
"PRIMACY_AGENCY_CODE","MO","Missouri"
"PRIMACY_AGENCY_CODE","MP","Northern Mariana Islands"
"PRIMACY_AGENCY_CODE","MS","Mississippi"
"PRIMACY_AGENCY_CODE","MT","Montana"
"PRIMACY_AGENCY_CODE","NC","North Carolina"
"PRIMACY_AGENCY_CODE","ND","North Dakota"
"PRIMACY_AGENCY_CODE","NE","Nebraska"
"PRIMACY_AGENCY_CODE","NH","New Hampshire"
"PRIMACY_AGENCY_CODE","NJ","New Jersey"
"PRIMACY_AGENCY_CODE","NM","New Mexico"
"PRIMACY_AGENCY_CODE","NN","Navajo Nation"
"PRIMACY_AGENCY_CODE","NV","Nevada"
"PRIMACY_AGENCY_CODE","NY","New York"
"PRIMACY_AGENCY_CODE","OH","Ohio"
"PRIMACY_AGENCY_CODE","OK","Oklahoma"
"PRIMACY_AGENCY_CODE","OR","Oregon"
"PRIMACY_AGENCY_CODE","PA","Pennsylvania"
"PRIMACY_AGENCY_CODE","PR","Puerto Rico"
"PRIMACY_AGENCY_CODE","PW","Palau"
"PRIMACY_AGENCY_CODE","RI","Rhode Island"
"PRIMACY_AGENCY_CODE","SC","South Carolina"
"PRIMACY_AGENCY_CODE","SD","South Dakota"
