SUBMISSIONYEARQUARTER,PWSID,PN_VIOLATION_ID,RELATED_VIOLATION_ID,COMPL_PER_BEGIN_DATE,COMPL_PER_END_DATE,NON_COMPL_PER_BEGIN_DATE,NON_COMPL_PER_END_DATE,VIOLATION_CODE,CONTAMINANT_CODE,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA2790015,42541,42521,04/01/2014,06/30/2014,04/01/2014,06/30/2014,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42522,07/01/2014,09/30/2014,07/01/2014,09/30/2014,02,4000,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42525,10/01/2014,12/31/2014,10/01/2014,12/31/2014,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42526,01/01/2015,03/31/2015,01/01/2015,03/31/2015,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42527,04/01/2015,06/30/2015,04/01/2015,06/30/2015,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42533,10/01/2015,12/31/2015,10/01/2015,12/31/2015,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42534,07/01/2015,09/30/2015,07/01/2015,09/30/2015,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42535,01/01/2016,03/31/2016,01/01/2016,03/31/2016,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42536,04/01/2016,06/30/2016,04/01/2016,06/30/2016,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42537,01/01/2016,03/31/2016,01/01/2016,03/31/2016,03,4000,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42538,01/01/2016,03/31/2016,01/01/2016,03/31/2016,03,4006,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42539,01/01/2016,03/31/2016,01/01/2016,03/31/2016,03,4010,05/04/2018,03/17/2021
2025Q1,GA1850314,817,814,10/01/2019,,10/01/2019,04/01/2020,52,5000,03/10/2022,03/20/2025
2025Q1,GA1750129,331,327,12/01/2020,12/31/2020,12/01/2020,12/31/2020,3A,8000,05/25/2022,03/20/2025
2025Q1,GA1430007,11230,11228,10/01/2021,12/31/2021,10/01/2021,12/31/2021,02,2950,06/27/2022,03/20/2025
2025Q1,GA1230066,10714,10713,09/30/2021,,09/30/2021,--->,2A,8000,06/27/2022,03/20/2025
2025Q1,GA0730022,30734,30727,01/01/2021,01/31/2021,01/01/2021,01/31/2021,3A,8000,06/27/2022,03/20/2025
2025Q1,GA1130012,41148,41144,11/04/2021,,11/04/2021,01/31/2023,2A,8000,06/27/2022,03/20/2025
2025Q1,GA0290001,10823,10818,01/01/2021,01/31/2021,01/01/2021,01/31/2021,3A,8000,06/27/2022,03/20/2025
2025Q1,GA1970000,22669,22668,10/01/2021,12/31/2021,10/01/2021,12/31/2021,02,4010,06/27/2022,03/20/2025
2025Q1,GA2850000,10932,10928,10/01/2021,,10/01/2021,--->,2A,8000,06/27/2022,03/20/2025
2025Q1,GA2910012,32023,32018,01/01/2021,01/31/2021,01/01/2021,01/31/2021,3B,8000,06/27/2022,03/20/2025
2025Q1,GA0770016,34635,34612,09/30/2021,,09/30/2021,05/02/2023,2A,8000,06/27/2022,03/20/2025
2025Q1,GA2590010,11625,11622,10/01/2020,,10/01/2020,--->,52,5000,05/25/2022,03/20/2025
2025Q1,GA0310002,10627,10621,12/01/2020,,12/01/2020,--->,34,3014,05/25/2022,03/20/2025
2025Q1,GA0310109,10228,10224,10/01/2020,12/31/2020,10/01/2020,12/31/2020,3A,8000,05/25/2022,03/20/2025
2025Q1,GA0310185,21220,21219,10/01/2020,,10/01/2020,--->,52,5000,05/25/2022,03/20/2025
2025Q1,GA2310026,21529,21526,12/01/2020,12/31/2020,12/01/2020,12/31/2020,3A,8000,05/25/2022,03/20/2025
2025Q1,GA0510075,11312,11311,10/01/2020,12/31/2020,10/01/2020,12/31/2020,3A,8000,05/25/2022,03/20/2025
2025Q1,GA0510089,11826,11823,10/01/2020,,10/01/2020,--->,52,5000,05/25/2022,03/20/2025
2025Q1,GA2410119,91311,91309,10/01/2020,10/31/2020,10/01/2020,10/31/2020,3A,8000,05/25/2022,03/20/2025
2025Q1,GA1710022,12235,12229,12/01/2020,12/31/2020,12/01/2020,12/31/2020,3A,8000,05/25/2022,03/20/2025
2025Q1,GA2550002,21619,21617,10/16/2020,,10/16/2020,02/17/2022,34,3014,05/25/2022,03/20/2025
2025Q1,GA2790028,21730,21725,10/01/2020,,10/01/2020,--->,52,5000,05/25/2022,03/20/2025
2025Q1,GA2910006,10821,10819,12/17/2020,,12/17/2020,02/28/2022,34,3014,05/25/2022,03/20/2025
2025Q1,GA1870073,724,722,12/01/2020,12/31/2020,12/01/2020,12/31/2020,3A,8000,05/25/2022,03/20/2025
2025Q1,GA2890001,11259,11253,12/01/2020,12/31/2020,12/01/2020,12/31/2020,3A,8000,05/25/2022,03/20/2025
2025Q1,GA2910001,10718,10715,12/29/2020,,12/29/2020,09/06/2022,34,3014,05/25/2022,03/20/2025
2025Q1,GA3110103,328,322,04/01/2021,04/30/2021,04/01/2021,04/30/2021,3A,8000,11/17/2022,03/20/2025
2025Q1,GA3110112,7,4,01/01/2021,03/31/2021,01/01/2021,03/31/2021,3A,8000,11/17/2022,03/20/2025
2025Q1,GA1130012,41151,41141,04/01/2021,04/30/2021,04/01/2021,04/30/2021,3A,8000,11/17/2022,03/20/2025
2025Q1,GA2110000,11021,11019,05/01/2021,05/31/2021,05/01/2021,05/31/2021,3A,8000,11/17/2022,03/20/2025
2025Q1,GA2410035,20555,20547,02/01/2021,02/28/2021,02/01/2021,02/28/2021,3A,8000,11/17/2022,03/20/2025
2025Q1,GA2450002,61041,61031,03/01/2021,03/31/2021,03/01/2021,03/31/2021,3A,8000,11/17/2022,03/20/2025
2025Q1,GA0570023,11522,11517,03/01/2021,03/31/2021,03/01/2021,03/31/2021,3A,8000,11/17/2022,03/20/2025
2025Q1,GA0770016,34640,34606,05/01/2021,05/31/2021,05/01/2021,05/31/2021,3A,8000,11/17/2022,03/20/2025
2025Q1,GA3030044,6,3,01/01/2020,12/31/2020,01/01/2020,12/31/2020,03,1038,09/28/2022,03/20/2025
2025Q1,GA3050023,11924,11921,10/01/2021,,10/01/2021,01/18/2024,52,5000,05/17/2023,03/20/2025
2025Q1,GA3190000,10104,10103,10/01/2021,,10/01/2021,--->,52,5000,05/17/2023,03/20/2025
2025Q1,GA0510083,10833,10826,11/01/2021,11/30/2021,11/01/2021,11/30/2021,3A,8000,05/17/2023,03/20/2025
2025Q1,GA0690063,12537,12533,10/01/2021,,10/01/2021,01/18/2024,52,5000,05/17/2023,03/20/2025
2025Q1,GA1070004,41946,41937,11/01/2021,11/30/2021,11/01/2021,11/30/2021,3A,8000,05/17/2023,03/20/2025
2025Q1,GA0070000,34128,34124,10/01/2021,,10/01/2021,--->,52,5000,05/17/2023,03/20/2025
2025Q1,GA1470008,11729,11725,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2950,05/17/2023,03/20/2025
2025Q1,GA1470008,11729,11726,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2456,05/17/2023,03/20/2025
2025Q1,GA3210002,31025,31023,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2950,05/17/2023,03/20/2025
2025Q1,GA3210002,31025,31024,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2456,05/17/2023,03/20/2025
2025Q1,GA1210010,11382,11380,01/01/2022,03/31/2022,01/01/2022,03/31/2022,02,2456,09/28/2022,03/20/2025
2025Q1,GA0690083,650,639,01/01/2020,12/31/2020,01/01/2020,12/31/2020,03,1038,09/28/2022,03/20/2025
2025Q1,GA1910021,11725,11722,01/01/2020,12/31/2020,01/01/2020,12/31/2020,03,1038,09/28/2022,03/20/2025
2025Q1,GA1430007,11231,11229,01/01/2022,03/31/2022,01/01/2022,03/31/2022,02,2950,09/28/2022,03/20/2025
2025Q1,GA1790093,21518,21517,01/01/2020,12/31/2020,01/01/2020,12/31/2020,03,1038,09/28/2022,03/20/2025
2025Q1,GA3110103,327,320,01/01/2020,12/31/2020,01/01/2020,12/31/2020,03,1038,09/28/2022,03/20/2025
2025Q1,GA0270036,31118,31115,01/01/2020,12/31/2020,01/01/2020,12/31/2020,03,1038,09/28/2022,03/20/2025
2025Q1,GA2890008,11531,11528,10/01/2021,,10/01/2021,--->,52,5000,05/17/2023,03/20/2025
2025Q1,GA1750017,10324,10320,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2950,05/17/2023,03/20/2025
2025Q1,GA1750017,10324,10321,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2456,05/17/2023,03/20/2025
2025Q1,GA2930046,10314,10312,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2950,05/17/2023,03/20/2025
2025Q1,GA2930046,10314,10313,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2456,05/17/2023,03/20/2025
2025Q1,GA2790005,24083,24075,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2950,05/17/2023,03/20/2025
2025Q1,GA2790005,24083,24076,10/01/2018,09/30/2021,10/01/2018,09/30/2021,27,2456,05/17/2023,03/20/2025
2025Q1,GA2050000,22018,22016,10/01/2021,,10/01/2021,03/08/2023,52,5000,05/17/2023,03/20/2025
2025Q1,GA1990001,44638,44635,10/01/2021,,10/01/2021,--->,52,5000,05/17/2023,03/20/2025
2025Q1,GA1570000,1422,1417,01/01/2014,12/31/2019,01/01/2014,12/31/2019,03,4000,03/28/2023,03/20/2025
2025Q1,GA1570000,1422,1418,01/01/2014,12/31/2019,01/01/2014,12/31/2019,03,4006,03/28/2023,03/20/2025
2025Q1,GA1570000,1422,1419,01/01/2014,12/31/2019,01/01/2014,12/31/2019,03,4010,03/28/2023,03/20/2025
2025Q1,GA1230059,21333,21330,10/01/2021,,10/01/2021,--->,52,5000,05/17/2023,03/20/2025
2025Q1,GA1910018,10209,10208,10/01/2021,,10/01/2021,02/06/2024,52,5000,05/17/2023,03/20/2025
2025Q1,GA2170028,12034,12030,12/01/2021,12/31/2021,12/01/2021,12/31/2021,3A,8000,05/17/2023,03/20/2025
2025Q1,GA1230057,1127,1124,10/01/2021,,10/01/2021,--->,52,5000,05/17/2023,03/20/2025
2025Q1,GA1230060,1029,1026,10/01/2021,,10/01/2021,--->,52,5000,05/17/2023,03/20/2025
2025Q1,GA1450001,10322,10319,07/01/2021,07/31/2021,07/01/2021,07/31/2021,3A,8000,03/28/2023,03/20/2025
2025Q1,GA2930016,20520,20519,06/01/2022,06/30/2022,06/01/2022,06/30/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA0270028,10837,10836,04/01/2022,06/30/2022,04/01/2022,06/30/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA0290000,22135,22133,03/09/2022,,03/09/2022,--->,34,3014,11/28/2023,03/20/2025
2025Q1,GA0690011,40312,40310,01/01/2022,01/31/2022,01/01/2022,01/31/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA2070074,1623,1620,10/01/2021,12/31/2021,10/01/2021,12/31/2021,27,2950,11/28/2023,03/20/2025
2025Q1,GA2070074,1623,1621,10/01/2021,12/31/2021,10/01/2021,12/31/2021,27,2456,11/28/2023,03/20/2025
2025Q1,GA1330061,21117,21116,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA1750133,19,2,10/01/2021,12/31/2021,10/01/2021,12/31/2021,3A,8000,11/28/2023,03/20/2025
2025Q1,GA1290021,31231,31222,02/01/2022,02/28/2022,02/01/2022,02/28/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA2670005,11948,11932,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA1290021,31232,31221,12/01/2021,12/31/2021,12/01/2021,12/31/2021,3A,8000,11/28/2023,03/20/2025
2025Q1,GA1290021,31230,31223,03/01/2022,03/31/2022,03/01/2022,03/31/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA1470039,20615,20613,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA2990000,21338,21335,10/01/2020,09/30/2021,10/01/2020,09/30/2021,27,2950,11/28/2023,03/20/2025
2025Q1,GA2990000,21338,21336,10/01/2020,09/30/2021,10/01/2020,09/30/2021,27,2456,11/28/2023,03/20/2025
2025Q1,GA0870040,10215,10212,04/01/2022,06/30/2022,04/01/2022,06/30/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA1070041,4,1,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA1990002,81831,81826,03/01/2022,03/31/2022,03/01/2022,03/31/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA1010007,8,4,10/01/2021,12/31/2021,10/01/2021,12/31/2021,3A,8000,11/28/2023,03/20/2025
2025Q1,GA2090007,41415,41414,07/01/2022,09/30/2022,07/01/2022,09/30/2022,02,4000,11/28/2023,03/20/2025
2025Q1,GA1530011,429,427,01/01/2023,03/31/2023,01/01/2023,03/31/2023,02,4010,11/28/2023,03/20/2025
2025Q1,GA0310041,92143,92140,12/01/2021,12/31/2021,12/01/2021,12/31/2021,3A,8000,11/28/2023,03/20/2025
2025Q1,GA0450045,20629,20621,05/01/2022,05/31/2022,05/01/2022,05/31/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA2790005,24086,24078,01/01/2022,03/31/2022,01/01/2022,03/31/2022,03,4000,11/28/2023,03/20/2025
2025Q1,GA2790005,24086,24079,01/01/2022,03/31/2022,01/01/2022,03/31/2022,03,4006,11/28/2023,03/20/2025
2025Q1,GA2790005,24086,24080,01/01/2022,03/31/2022,01/01/2022,03/31/2022,03,4010,11/28/2023,03/20/2025
2025Q1,GA0190001,32650,32638,10/01/2021,12/31/2021,10/01/2021,12/31/2021,03,4000,11/28/2023,03/20/2025
2025Q1,GA0190001,32650,32639,10/01/2021,12/31/2021,10/01/2021,12/31/2021,03,4006,11/28/2023,03/20/2025
2025Q1,GA0190001,32650,32640,10/01/2021,12/31/2021,10/01/2021,12/31/2021,03,4010,11/28/2023,03/20/2025
2025Q1,GA1470074,2747,2739,10/01/2022,12/31/2022,10/01/2022,12/31/2022,02,4000,11/28/2023,03/20/2025
2025Q1,GA0190001,32651,32637,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA2910012,32025,32022,10/01/2021,12/31/2021,10/01/2021,12/31/2021,3A,8000,11/28/2023,03/20/2025
2025Q1,GA0570048,11132,11131,10/01/2021,12/31/2021,10/01/2021,12/31/2021,3A,8000,11/28/2023,03/20/2025
2025Q1,GA1090037,20917,20916,02/01/2022,02/28/2022,02/01/2022,02/28/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA3030002,10832,10830,06/01/2022,06/30/2022,06/01/2022,06/30/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA0770109,21612,21607,06/01/2022,06/30/2022,06/01/2022,06/30/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA2290000,12520,12519,02/01/2022,02/28/2022,02/01/2022,02/28/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA0510083,10837,10829,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA0550002,20720,20717,01/25/2022,,01/25/2022,10/24/2023,34,3014,11/28/2023,03/20/2025
2025Q1,GA1370000,40736,40731,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA0450045,20631,20619,03/01/2022,03/31/2022,03/01/2022,03/31/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA1850152,20219,20218,04/01/2022,06/30/2022,04/01/2022,06/30/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA0510206,10419,10416,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA2590004,10105,10104,04/01/2022,06/30/2022,04/01/2022,06/30/2022,3A,8000,11/28/2023,03/20/2025
2025Q1,GA2090014,190234,190230,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA3190020,13,12,10/01/2021,12/31/2021,10/01/2021,12/31/2021,3A,8000,11/28/2023,03/20/2025
2025Q1,GA1470074,2746,2741,01/01/2023,03/31/2023,01/01/2023,03/31/2023,02,4000,11/28/2023,03/20/2025
2025Q1,GA1470074,2745,2742,01/01/2023,03/31/2023,01/01/2023,03/31/2023,02,4010,11/28/2023,03/20/2025
2025Q1,GA1370000,40735,40732,01/01/2021,12/31/2021,01/01/2021,12/31/2021,03,1038,11/28/2023,03/20/2025
2025Q1,GA0770016,34625,34590,03/01/2020,03/31/2020,03/01/2020,03/31/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA2410052,20720,20716,07/01/2020,09/30/2020,07/01/2020,09/30/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA2690001,31325,31324,03/25/2020,,03/25/2020,05/16/2022,34,3014,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10822,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1005,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10823,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1010,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10824,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1015,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10826,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1024,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10827,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1025,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10828,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1035,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10829,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1036,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10830,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1074,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10831,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1075,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10832,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1085,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10833,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1045,02/23/2022,03/20/2025
2025Q1,GA0270028,10834,10825,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1020,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50933,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1005,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50934,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1010,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50935,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1015,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50936,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1020,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50937,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1024,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50938,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1025,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50939,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1035,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50940,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1036,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50941,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1074,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50942,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1075,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50943,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1085,02/23/2022,03/20/2025
2025Q1,GA1090007,50945,50944,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1045,02/23/2022,03/20/2025
2025Q1,GA0970002,42023,42020,09/01/2020,09/30/2020,09/01/2020,09/30/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA0310109,10227,10222,07/01/2019,09/30/2019,07/01/2019,09/30/2019,3A,8000,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21717,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1005,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21718,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1010,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21719,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1015,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21720,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1020,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21721,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1024,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21722,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1025,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21723,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1035,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21724,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1036,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21725,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1074,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21726,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1075,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21727,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1085,02/23/2022,03/20/2025
2025Q1,GA1910087,21729,21728,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1045,02/23/2022,03/20/2025
2025Q1,GA1870074,498,483,07/01/2019,07/31/2019,07/01/2019,07/31/2019,3A,8000,02/23/2022,03/20/2025
2025Q1,GA1310022,281057,281017,10/01/2019,,10/01/2019,03/29/2022,52,5000,02/23/2022,03/20/2025
2025Q1,GA0590003,20517,20515,10/01/2019,,10/01/2019,01/25/2022,52,5000,02/23/2022,03/20/2025
2025Q1,GA0510070,10419,10415,10/01/2019,,10/01/2019,01/26/2022,52,5000,02/23/2022,03/20/2025
2025Q1,GA1230057,1123,1122,07/01/2020,07/31/2020,07/01/2020,07/31/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA2250001,11520,11519,08/01/2020,08/31/2020,08/01/2020,08/31/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA3110084,20719,20716,09/02/2020,,09/02/2020,10/27/2023,34,3014,02/23/2022,03/20/2025
2025Q1,GA1750013,10108,10103,07/01/2019,09/30/2019,07/01/2019,09/30/2019,3A,8000,02/23/2022,03/20/2025
2025Q1,GA0690063,12532,12527,06/01/2020,06/30/2020,06/01/2020,06/30/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA1270033,80742,80739,08/04/2020,,08/04/2020,--->,34,3014,02/23/2022,03/20/2025
2025Q1,GA1450006,127,111,05/27/2020,,05/27/2020,--->,34,3014,02/23/2022,03/20/2025
2025Q1,GA3110107,533,530,09/01/2020,09/30/2020,09/01/2020,09/30/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA1790029,10819,10817,09/03/2020,,09/03/2020,--->,34,3014,02/23/2022,03/20/2025
2025Q1,GA0510283,7,6,07/01/2020,09/30/2020,07/01/2020,09/30/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA2790005,24065,24041,11/01/2019,11/30/2019,11/01/2019,11/30/2019,3A,8000,02/23/2022,03/20/2025
2025Q1,GA0690018,32435,32430,06/01/2020,06/30/2020,06/01/2020,06/30/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA0510031,21537,21535,02/01/2020,02/29/2020,02/01/2020,02/29/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA1230055,1114,1113,07/01/2020,09/30/2020,07/01/2020,09/30/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA1450043,118,116,01/01/2020,03/31/2020,01/01/2020,03/31/2020,3A,8000,02/23/2022,03/20/2025
2025Q1,GA2510056,1018,1016,07/01/2021,07/31/2021,07/01/2021,07/31/2021,3A,8000,03/28/2023,03/20/2025
2025Q1,GA1970003,662,649,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1005,02/23/2022,03/20/2025
2025Q1,GA1970003,662,650,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1010,02/23/2022,03/20/2025
2025Q1,GA1970003,662,651,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1015,02/23/2022,03/20/2025
2025Q1,GA1970003,662,652,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1020,02/23/2022,03/20/2025
2025Q1,GA1970003,662,653,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1024,02/23/2022,03/20/2025
2025Q1,GA1970003,662,654,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1025,02/23/2022,03/20/2025
2025Q1,GA1970003,662,655,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1035,02/23/2022,03/20/2025
2025Q1,GA1970003,662,656,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1036,02/23/2022,03/20/2025
2025Q1,GA1970003,662,657,01/01/2017,12/31/2019,01/01/2017,12/31/2019,03,1074,02/23/2022,03/20/2025
