SUBMISSIONYEARQUARTER,PWSID,EVENT_SCHEDULE_ID,EVENT_END_DATE,EVENT_ACTUAL_DATE,EVENT_COMMENTS_TEXT,EVENT_MILESTONE_CODE,EVENT_REASON_CODE,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0030001,TTT-GA607875575031,11/07/2022,12/01/2022,LVL1 TTT MULTIPLE TC +;5575031;Sample Lab ID:2213729 Sample Collection Date:2022-11-01 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,02/15/2023,03/20/2025
2025Q1,GA0030004,LSLI-GA72557,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,12/18/2024,03/20/2025
2025Q1,GA0050000,11,,07/28/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0050001,12,,11/11/1997,,DONE,B1,11/15/2005,05/18/2007
2025Q1,GA0050007,13,,03/24/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0050007,TTT-GA397184636809,10/08/2019,09/21/2019,LVL1 TTT TC+/EC- WO RPTS;4636809;Sample Lab ID:BS32499 Sample Collection Date:2019-08-19 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TC,02/10/2020,03/28/2023
2025Q1,GA0050008,14,,04/12/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0070000,PBSL-GA74471,,07/01/2025,CERTIFY LEAD SL NOTIFICATION,PBSL,SLCN,03/20/2025,
2025Q1,GA0070005,15,,03/14/2002,,DEEM,B1,11/15/2005,03/21/2012
2025Q1,GA0070005,16,,03/14/2002,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0070006,16,,03/14/2002,,DEEM,B1,11/15/2005,03/21/2012
2025Q1,GA0070006,17,,03/14/2002,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0070006,LSLI-GA72555,09/10/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,09/19/2024,03/20/2025
2025Q1,GA0090000,17,,03/11/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0090001,18,,03/11/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0090042,19,,03/26/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0090042,TTT-GA254523877446,07/25/2016,08/05/2016,LVL1 TTT MULTIPLE TC +;3877446;Sample Lab ID:BR56833 Sample Collection Date:2016-07-06 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,11/23/2016,03/12/2020
2025Q1,GA0090045,20,,06/07/2000,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0090046,21,,04/05/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0090046,LSLI-GA69823,10/07/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,03/20/2025,
2025Q1,GA0090047,COR-GA654663612,11/20/2023,02/07/2024,120 DAYS TO COMPLETE ACTION GWR;SR1-SOURCE SUSCEPTIBLE TO SANITARY RISK-,SDFF,GW,02/28/2024,03/20/2025
2025Q1,GA0110000,23,,03/02/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0110001,24,,01/19/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0110001,25,,01/19/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010000,LSLI-GA70817,10/09/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0090000,LSLI-GA70823,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0010000,TTT-GA344964417067,10/19/2018,11/01/2018,LVL1 TTT TC+/EC- WO RPTS;4417067;Sample Lab ID:BS12302 Sample Collection Date:2018-10-02 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TC,02/15/2019,12/20/2021
2025Q1,GA0010001,LSLI-GA71741,09/23/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0010006,LSLI-GA70819,09/05/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0010002,COR-GA488813502,10/27/2021,02/10/2022,120 DAYS TO COMPLETE ACTION GWR;SR1-SOURCE SUSCEPTIBLE TO SANITARY RISK-Well 101 casing is rusting and disintegrating.  The electrical wiring to the submersible pump is not adequately sealed.,SDFF,GW,05/25/2022,03/20/2025
2025Q1,GA0010044,COR-GA489433503,12/03/2021,02/18/2022,120 DAYS TO COMPLETE ACTION GWR;DS3-INADEQUATE CROSS-CONNECTION/BACKFLOW PREVENTION-Unapproved connection to RV Trailer Park.  No backflow prevention in place.,SDFF,GW,05/25/2022,03/20/2025
2025Q1,GA0010002,LSLI-GA72639,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0090042,LSLI-GA71745,10/07/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0010003,LSLI-GA70327,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0010005,6,,06/30/1994,,DONE,B1,09/22/2004,09/22/2004
2025Q1,GA0010006,7,,02/15/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010009,8,,04/14/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010010,9,,03/29/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010043,10,,04/06/1995,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0030001,11,,03/04/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0050000,12,,07/28/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0050001,13,,11/11/1997,,DONE,B1,09/22/2004,09/22/2004
2025Q1,GA0050007,14,,03/24/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0050008,15,,04/12/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0090000,18,,03/11/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0090001,19,,03/11/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0090042,20,,03/26/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0090045,21,,06/07/2000,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0090046,22,,04/05/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0110000,24,,03/02/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010043,LSLI-GA70821,07/11/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,08/12/2024,03/20/2025
2025Q1,GA0030005,LSLI-GA72063,07/26/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,08/12/2024,03/20/2025
2025Q1,GA0090001,COR-GA735563631,07/01/2024,10/03/2024,120 DAYS TO COMPLETE ACTION SUBPART H;ST2-TANK VENT NOT SCREENED-,SDFF,SH,08/12/2024,03/20/2025
2025Q1,GA0030000,COR-GA732963626,04/26/2024,07/26/2024,120 DAYS TO COMPLETE ACTION GWR;ST6-SEVERE LEAKAGE AT THE TANK-,SDFF,GW,05/21/2024,03/20/2025
2025Q1,GA0030001,COR-GA432253287,03/03/2020,04/16/2020,"120 DAYS TO COMPLETE ACTION GWR;DS3-INADEQUATE CROSS-CONNECTION/BACKFLOW PREVENTION-Abandoned water equipment (aerator, pumps, lines etc.) still connected to the City's water main presenting a possible cross-connection issue.",SDFF,GW,06/25/2020,06/27/2023
2025Q1,GA0030001,COR-GA645363580,06/21/2023,07/31/2023,120 DAYS TO COMPLETE ACTION GWR;ST6-SEVERE LEAKAGE AT THE TANK-Tank 201 on Peterson Street is leaking,SDFF,GW,11/28/2023,03/20/2025
2025Q1,GA0030001,COR-GA645363581,06/21/2023,07/31/2023,120 DAYS TO COMPLETE ACTION GWR;TR6-OTHER-Treatment Room has unsanitary conditions,SDFF,GW,11/28/2023,03/20/2025
2025Q1,GA0030001,LSLI-GA70329,10/10/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,12/18/2024,03/20/2025
2025Q1,GA0030001,PBSL-GA74470,,07/01/2025,CERTIFY LEAD SL NOTIFICATION,PBSL,SLCN,03/20/2025,
2025Q1,GA0030006,LSLI-GA71213,,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,03/20/2025,
2025Q1,GA0050000,LSLI-GA70331,10/15/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0050001,LSLI-GA72641,10/14/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0050007,LSLI-GA72643,09/23/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,12/18/2024,03/20/2025
2025Q1,GA0070000,COR-GA344203109,02/20/2019,04/09/2019,120 DAYS TO COMPLETE ACTION GWR;SR1-SOURCE SUSCEPTIBLE TO SANITARY RISK-Exposed openings at the SVR for wells 103 and 104.,SDFF,GW,08/14/2019,06/27/2022
2025Q1,GA0070000,LSLI-GA72645,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,12/18/2024,03/20/2025
2025Q1,GA0070005,LSLI-GA69737,08/23/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0090001,LSLI-GA70333,10/15/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0090047,LSLI-GA70735,10/04/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0110000,LSLI-GA70335,10/14/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,12/18/2024,03/20/2025
2025Q1,GA0110000,PBSL-GA74472,,07/01/2025,CERTIFY LEAD SL NOTIFICATION,PBSL,SLCN,03/20/2025,
2025Q1,GA0110001,26,,11/10/1998,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0110001,27,,11/10/1998,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0110001,PBSL-GA74473,,07/01/2025,CERTIFY LEAD SL NOTIFICATION,PBSL,SLCN,03/20/2025,
2025Q1,GA0110026,27,,03/27/1998,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0110026,28,,03/27/1998,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0110031,LSLI-GA71277,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0130000,29,,05/19/2001,,DONE,B1,11/15/2005,05/18/2007
2025Q1,GA0130000,30,,05/19/2001,,DONE,B1,09/22/2004,09/22/2004
2025Q1,GA0130000,LSLI-GA72171,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,12/18/2024,03/20/2025
2025Q1,GA0130000,TTT-GA335124279356,04/10/2018,04/12/2018,LVL1 TTT MULTIPLE TC +;4279356;Sample Lab ID:BR98690 Sample Collection Date:2018-03-13 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,08/16/2018,12/20/2021
2025Q1,GA0130001,30,,04/26/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0130001,31,,04/26/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0130001,LSLI-GA69341,10/14/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0130002,31,,04/26/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0130002,32,,04/26/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0130002,LSLI-GA72647,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/11/2025,03/20/2025
2025Q1,GA0130002,PBSL-GA74474,,07/01/2025,CERTIFY LEAD SL NOTIFICATION,PBSL,SLCN,03/20/2025,
2025Q1,GA0130007,32,,04/12/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0130007,33,,04/12/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0130008,33,,01/11/1995,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0130008,34,,01/11/1995,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0130011,34,,05/17/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0130011,35,,05/17/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0130031,35,,08/11/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0130031,36,,08/11/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0130032,37,,12/06/1995,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0130032,38,,12/06/1995,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0130033,38,,12/10/1997,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0130033,39,,12/10/1997,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0130033,LSLI-GA71747,07/30/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,09/19/2024,03/20/2025
2025Q1,GA0150000,39,,04/23/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150001,40,,03/03/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150001,PBSL-GA74475,,07/01/2025,CERTIFY LEAD SL NOTIFICATION,PBSL,SLCN,03/20/2025,
2025Q1,GA0150002,41,,04/01/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150002,LSLI-GA70339,10/01/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0150002,TTT-GA297070,08/18/2017,09/08/2017,LVL1 TTT MULTIPLE TC +;0;Sample Lab ID: Sample Collection Date: Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,02/21/2018,03/20/2025
2025Q1,GA0150003,42,,02/12/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150003,TTT-GA397204602487,08/08/2019,08/10/2019,LVL1 TTT MULTIPLE TC +;4602487;Sample Lab ID:07-037-19 Sample Collection Date:2019-07-08 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,02/10/2020,03/28/2023
2025Q1,GA0150004,43,,01/25/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150025,44,,02/16/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150025,LSLI-GA71749,09/30/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/11/2025,03/20/2025
2025Q1,GA0150027,45,,02/23/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150028,46,,04/05/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150035,47,,03/03/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150035,49,,03/19/2002,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0150056,TTT-GA255233932146,10/19/2016,10/20/2016,LVL1 TTT MULTIPLE TC +;3932146;Sample Lab ID:BR62190 Sample Collection Date:2016-09-20 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,03/09/2017,03/12/2020
2025Q1,GA0150056,TTT-GA297084050282,05/03/2017,04/30/2017,LVL2 TTT TC+/EC- WO RPTS 2ND LVL 1 12 MN;4050282;Sample Lab ID:BR74944 Sample Collection Date:2017-03-30 Assessment conducted: Site Visit/Assessment Number:,RTL2,L2TB,05/04/2018,03/17/2021
2025Q1,GA0150056,TTT-GA434694848458,08/12/2020,07/25/2020,LVL1 TTT TC+/EC- WO RPTS;4848458;Sample Lab ID:BS51197 Sample Collection Date:2020-06-25 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TC,11/16/2020,09/27/2023
2025Q1,GA0150056,TTT-GA595765452343,07/15/2022,07/23/2022,LVL2 TTT TC+/EC- WO RPTS 2ND LVL 1 12 MN;5452343;Sample Lab ID:BS94905 Sample Collection Date:2022-06-23 Assessment conducted: Site Visit/Assessment Number:,RTL2,L2TB,11/17/2022,03/20/2025
2025Q1,GA0150100,COR-GA293822680,04/02/2018,11/04/2017,120 DAYS TO COMPLETE ACTION GWR;SR4-USE OF UNAPPROVED WELL-Source does not have source approval,SDFF,GW,02/21/2018,06/17/2021
2025Q1,GA0150100,TTT-GA434480,06/30/2020,07/02/2020,LVL1 TTT MULTIPLE TC +;0;Sample Lab ID: Sample Collection Date: Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,11/16/2020,09/27/2023
2025Q1,GA0150101,COR-GA293852681,07/10/2017,11/04/2017,120 DAYS TO COMPLETE ACTION GWR;TR1-DISINFECTION SYSTEM IS NOT OPERATING PROPERLY-Free chlorine not detectable throughout entire system.,SDFF,GW,02/21/2018,12/15/2020
2025Q1,GA0150106,LSLI-GA72625,09/06/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,09/19/2024,03/20/2025
2025Q1,GA0170000,50,,04/17/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0170000,TTT-GA296334213937,01/29/2018,11/10/2017,LVL1 TTT MULTIPLE TC +;4213937;Sample Lab ID:1712204 Sample Collection Date:2017-10-11 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,02/21/2018,03/17/2021
2025Q1,GA0170002,51,,02/22/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0170002,LSLI-GA72173,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,03/20/2025,
2025Q1,GA0170004,53,,08/06/1996,,DONE,B1,11/15/2005,05/18/2007
2025Q1,GA0170004,55,,03/23/2001,,DONE,B1,11/15/2005,05/18/2007
2025Q1,GA0190000,56,,12/27/2002,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0190000,LSLI-GA71299,10/22/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,12/18/2024,03/20/2025
2025Q1,GA0190001,57,,02/02/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0190002,58,,04/28/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0190002,LSLI-GA72175,10/08/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0190003,59,,11/05/1998,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0190003,60,,11/05/1998,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0110001,LSLI-GA69339,10/15/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/11/2025,03/20/2025
2025Q1,GA0110026,LSLI-GA71293,10/08/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,03/20/2025,
2025Q1,GA0110028,LSLI-GA71665,10/14/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0110029,LSLI-GA69739,10/14/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0110030,LSLI-GA70315,10/14/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0130008,LSLI-GA70825,10/04/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0130008,TTT-GA445534975880,01/11/2021,12/12/2020,LVL1 TTT TC+/EC- WO RPTS;4975880;Sample Lab ID:BS59996 Sample Collection Date:2020-11-12 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TC,02/16/2021,03/26/2024
2025Q1,GA0130011,LSLI-GA71295,09/26/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,11/14/2024,03/20/2025
2025Q1,GA0130031,LSLI-GA72649,09/10/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/11/2025,03/20/2025
2025Q1,GA0170000,TTT-GA744266196643,12/10/2024,12/25/2024,LVL 2 TTT MULTIPLE TC + 2ND LVL 1-12 MN;6196643;Sample Lab ID:2415909 Sample Collection Date:2024-11-25 Assessment conducted: Site Visit/Assessment Number:,RTL2,L2TB,02/11/2025,03/20/2025
2025Q1,GA0130032,LSLI-GA70337,07/30/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,09/19/2024,03/20/2025
2025Q1,GA0150107,LSLI-GA72149,09/05/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,09/19/2024,03/20/2025
2025Q1,GA0150000,40,,04/23/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150001,41,,03/03/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150002,42,,04/01/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150003,43,,02/12/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150004,44,,01/25/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150025,45,,02/16/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150027,46,,02/23/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150028,47,,04/05/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150035,48,,03/03/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150035,50,,03/19/2002,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0170000,51,,04/17/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0170002,52,,02/22/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0170004,54,,08/06/1996,,DONE,B1,09/22/2004,09/22/2004
2025Q1,GA0170004,56,,03/23/2001,,DONE,B1,09/22/2004,09/22/2004
2025Q1,GA0190001,58,,02/02/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0190002,59,,04/28/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0150000,LSLI-GA69343,10/14/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0150001,LSLI-GA71297,10/03/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,02/24/2025,03/20/2025
2025Q1,GA0150001,TTT-GA480635005446,01/13/2021,01/02/2021,LVL1 TTT MULTIPLE TC +;5005446;Sample Lab ID:12-037-20 Sample Collection Date:2020-12-03 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,05/14/2021,03/26/2024
2025Q1,GA0150003,TTT-GA480645005441,01/14/2021,01/02/2021,LVL1 TTT MULTIPLE TC +;5005441;Sample Lab ID:12-051-20 Sample Collection Date:2020-12-03 Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,05/14/2021,03/26/2024
2025Q1,GA0150002,TTT-GA643650,02/27/2023,03/22/2023,LVL1 TTT MULTIPLE TC +;0;Sample Lab ID: Sample Collection Date: Assessment conducted: Site Visit/Assessment Number:,RTL1,L1TD,05/17/2023,03/20/2025
2025Q1,GA0150003,LSLI-GA72651,10/16/2024,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,03/20/2025,
