SUBMISSIONYEARQUARTER,PWSID,VISIT_ID,VISIT_DATE,AGENCY_TYPE_CODE,VISIT_REASON_CODE,MANAGEMENT_OPS_EVAL_CODE,SOURCE_WATER_EVAL_CODE,SECURITY_EVAL_CODE,PUMPS_EVAL_CODE,OTHER_EVAL_CODE,COMPLIANCE_EVAL_CODE,DATA_VERIFICATION_EVAL_CODE,TREATMENT_EVAL_CODE,FINISHED_WATER_STOR_EVAL_CODE,DISTRIBUTION_EVAL_CODE,FINANCIAL_EVAL_CODE,VISIT_COMMENTS,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0010006,3,09/26/2013,ST,SNSV,N,N,N,Z,Z,N,N,N,N,N,X,,06/29/2015,03/12/2020
2025Q1,GA0010000,4,04/18/2018,ST,SNSV,R,N,N,Z,Z,N,N,M,N,N,Z,,08/16/2018,06/17/2021
2025Q1,GA0050007,4,04/10/2018,ST,SNSV,N,N,N,Z,N,N,M,Z,N,N,X,,08/16/2018,06/17/2021
2025Q1,GA0010000,5,10/19/2018,ST,LV1A,N,N,N,N,N,N,N,N,N,N,N,,02/15/2019,12/20/2021
2025Q1,GA0070000,6,12/06/2018,SA,SNSV,R,S,N,Z,Z,N,M,M,M,M,X,,02/15/2019,12/20/2021
2025Q1,GA0010001,1,11/16/2006,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,02/13/2007,11/16/2009
2025Q1,GA0010001,2,01/09/2012,ST,SNSV,N,N,,N,N,N,N,N,N,N,,,06/07/2012,03/12/2020
2025Q1,GA0010001,3,04/28/2017,ST,SNSV,N,N,N,N,N,N,N,N,N,N,X,,09/06/2017,06/24/2020
2025Q1,GA0010001,4,04/08/2022,ST,SNSV,R,M,N,Z,Z,N,M,R,R,R,X,,08/16/2022,03/20/2025
2025Q1,GA0030004,4,05/26/2022,ST,SNSV,N,N,N,Z,Z,N,N,N,R,R,X,,08/16/2022,03/20/2025
2025Q1,GA0030005,4,05/26/2022,ST,SNSV,N,R,N,Z,Z,N,N,R,N,R,X,,08/16/2022,03/20/2025
2025Q1,GA0050000,5,06/01/2022,ST,SNSV,N,R,N,Z,Z,N,M,R,R,N,X,,08/16/2022,03/20/2025
2025Q1,GA0010002,1,07/17/2007,ST,SNSV,N,M,,N,X,N,N,N,N,N,,,11/16/2007,08/27/2010
2025Q1,GA0010044,2,07/17/2007,ST,SNSV,N,N,,N,N,N,N,N,N,N,,,11/16/2007,08/27/2010
2025Q1,GA0030001,2,08/10/2007,ST,SNSV,R,M,,N,R,R,R,M,R,R,,,11/16/2007,08/27/2010
2025Q1,GA0010002,2,04/05/2012,ST,SNSV,N,R,N,Z,N,N,Z,Z,Z,Z,R,,08/21/2012,03/12/2020
2025Q1,GA0010019,2,04/02/2012,ST,SNSV,N,N,N,Z,Z,N,N,N,N,N,X,,08/21/2012,03/12/2020
2025Q1,GA0010044,3,04/05/2012,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,X,,08/21/2012,03/12/2020
2025Q1,GA0050000,3,04/18/2012,ST,SNSV,N,N,N,N,Z,R,N,R,R,N,Z,,08/21/2012,03/12/2020
2025Q1,GA0010002,3,06/16/2017,ST,SNSV,S,S,N,Z,Z,N,N,N,N,N,X,,11/15/2017,12/29/2022
2025Q1,GA0010002,5,09/30/2021,ST,SNSV,N,S,N,Z,Z,N,N,N,N,R,X,,11/22/2021,12/18/2024
2025Q1,GA0010019,4,09/30/2021,ST,SNSV,N,R,N,Z,Z,N,R,N,R,N,X,,11/22/2021,12/18/2024
2025Q1,GA0010044,5,09/30/2021,ST,SNSV,N,N,N,Z,Z,N,M,Z,N,S,X,,11/22/2021,03/20/2025
2025Q1,GA0010003,2,07/01/2009,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/16/2009,06/18/2018
2025Q1,GA0010034,2,08/13/2009,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/16/2009,06/18/2018
2025Q1,GA0010003,3,09/11/2014,ST,SNSV,M,M,N,Z,Z,N,N,M,M,N,X,,02/22/2016,03/12/2020
2025Q1,GA0070000,5,12/09/2015,ST,SNSV,R,R,N,Z,Z,N,M,R,R,N,X,,02/22/2016,03/12/2020
2025Q1,GA0010003,4,02/21/2019,ST,SNSV,N,N,N,Z,N,N,N,N,N,N,X,,05/21/2019,03/17/2022
2025Q1,GA0010003,5,03/21/2024,ST,SNSV,N,N,N,Z,Z,N,N,N,N,N,X,,05/21/2024,03/20/2025
2025Q1,GA0010006,6,03/21/2024,ST,SNSV,N,R,N,Z,Z,R,M,N,M,N,X,,05/21/2024,03/20/2025
2025Q1,GA0010047,2,03/05/2024,ST,SNSV,N,N,N,Z,N,N,N,N,N,N,X,,05/21/2024,03/20/2025
2025Q1,GA0030000,6,03/19/2024,ST,SNSV,M,M,N,Z,Z,N,M,M,S,S,X,,05/21/2024,03/20/2025
2025Q1,GA0050001,5,02/02/2024,ST,SNSV,N,R,N,Z,Z,N,N,N,M,M,X,,05/21/2024,03/20/2025
2025Q1,GA0050007,6,02/02/2024,ST,SNSV,N,N,N,Z,Z,N,N,N,N,N,X,,05/21/2024,03/20/2025
2025Q1,GA0010005,2,08/19/2010,ST,SNSV,R,R,,N,X,N,N,R,N,N,,,11/29/2010,06/18/2018
2025Q1,GA0010011,2,08/19/2010,ST,SNSV,N,R,,N,X,N,N,N,N,R,,,11/29/2010,09/21/2020
2025Q1,GA0010005,4,03/31/2020,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,Z,,05/07/2020,06/27/2023
2025Q1,GA0010011,4,03/31/2020,ST,SNSV,N,N,N,Z,Z,N,M,N,N,N,Z,,05/07/2020,03/20/2025
2025Q1,GA0010006,2,01/14/2009,ST,SNSV,N,M,,N,X,N,R,R,N,N,,,05/19/2009,03/21/2012
2025Q1,GA0010006,4,09/22/2016,ST,SNSV,N,N,N,N,X,N,N,N,N,N,X,,11/23/2016,06/27/2022
2025Q1,GA0010009,3,09/22/2016,ST,SNSV,N,N,N,N,X,N,N,N,N,N,X,,11/23/2016,03/20/2025
2025Q1,GA0010043,4,08/11/2016,ST,SNSV,R,N,N,Z,Z,N,N,M,R,N,Z,,11/23/2016,03/12/2020
2025Q1,GA0030000,4,09/27/2016,ST,SNSV,N,N,N,N,X,N,N,N,N,N,X,,11/23/2016,03/12/2020
2025Q1,GA0050008,4,08/11/2016,ST,SNSV,N,N,N,Z,Z,N,N,M,N,N,Z,,11/23/2016,03/20/2025
2025Q1,GA0010006,5,07/23/2019,ST,SNSV,N,N,N,Z,N,N,N,N,N,N,X,,09/20/2019,09/28/2022
2025Q1,GA0010009,2,05/10/2010,ST,SNSV,N,N,,N,X,N,N,M,N,M,,,08/27/2010,06/24/2020
2025Q1,GA0010010,3,06/17/2010,ST,SNSV,X,R,,X,X,X,R,R,X,X,,,08/27/2010,06/24/2020
2025Q1,GA0010010,2,06/04/2007,ST,SNSV,M,N,,N,X,N,M,N,N,N,,,08/29/2007,03/12/2020
2025Q1,GA0030005,1,05/29/2007,SA,SNSV,N,N,,N,N,N,N,N,N,N,,,08/29/2007,03/12/2020
2025Q1,GA0010011,1,07/07/2005,ST,SNSV,N,M,,N,X,N,N,R,N,N,,,11/15/2005,06/18/2018
2025Q1,GA0010034,1,10/07/2004,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/15/2005,11/16/2007
2025Q1,GA0010044,1,04/04/2002,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/15/2005,02/25/2008
2025Q1,GA0030001,1,07/24/2003,ST,SNSV,R,R,,N,X,N,N,R,M,R,,,11/15/2005,08/22/2006
2025Q1,GA0030006,1,10/01/2003,ST,SNSV,R,R,,N,X,N,N,R,N,N,,,11/15/2005,06/18/2018
2025Q1,GA0050000,1,11/15/2004,ST,SNSV,N,R,,N,X,N,R,R,N,N,,,11/15/2005,11/16/2007
2025Q1,GA0050001,1,05/25/2004,ST,SNSV,N,R,,N,X,N,N,R,N,N,,,11/15/2005,05/18/2007
2025Q1,GA0050007,1,01/15/2004,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/15/2005,02/13/2007
2025Q1,GA0070000,1,09/10/2002,ST,SNSV,N,N,,N,X,N,N,M,N,N,,,11/15/2005,
2025Q1,GA0070000,2,12/14/2004,ST,SNSV,M,N,,N,X,N,M,N,N,N,,,11/15/2005,02/25/2008
2025Q1,GA0070005,1,11/25/2002,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/15/2005,06/18/2018
2025Q1,GA0070006,1,11/25/2002,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/15/2005,06/18/2018
2025Q1,GA0010019,3,06/16/2017,ST,SNSV,M,M,N,Z,Z,N,M,N,N,R,X,,11/15/2017,09/21/2020
2025Q1,GA0010043,1,03/15/2006,ST,SNSV,S,N,,N,X,X,S,N,N,N,,,05/18/2006,03/13/2009
2025Q1,GA0010043,5,05/14/2019,ST,SNSV,R,S,N,Z,Z,N,M,M,S,R,Z,,08/14/2019,06/27/2022
2025Q1,GA0010043,6,11/05/2021,ST,SNSV,R,R,N,Z,X,N,N,M,N,N,X,,02/23/2022,12/18/2024
2025Q1,GA0070000,8,12/17/2021,SA,SNSV,M,M,N,Z,Z,N,M,R,R,N,X,,02/23/2022,12/18/2024
2025Q1,GA0010043,7,11/26/2024,SA,SNSV,N,N,N,Z,Z,N,M,M,N,N,X,,02/11/2025,03/20/2025
2025Q1,GA0070000,9,12/18/2024,ST,SNSV,R,M,Z,Z,Z,N,M,R,R,N,X,,02/11/2025,03/20/2025
2025Q1,GA0010044,#1,04/04/2002,,SNSV,,,,,,,,,,,,,06/24/2005,
2025Q1,GA0010044,4,06/30/2017,ST,SNSV,N,N,N,Z,Z,N,M,Z,N,N,Z,,09/06/2017,09/21/2020
2025Q1,GA0030006,4,06/23/2017,ST,SNSV,R,N,N,N,Z,N,M,N,R,N,X,,09/06/2017,03/20/2025
2025Q1,GA0010047,1,02/06/2019,ST,SNSV,N,N,N,Z,N,N,N,N,N,N,X,,05/21/2019,03/20/2025
2025Q1,GA0030001,4,05/02/2017,ST,SNSV,N,R,N,N,N,N,N,N,N,R,X,,09/06/2017,06/24/2020
2025Q1,GA0030001,5,12/20/2019,ST,SNSV,N,M,M,Z,Z,N,M,N,S,S,X,,02/10/2020,03/28/2023
2025Q1,GA0030001,6,11/09/2022,ST,SNSV,M,S,M,Z,Z,N,M,S,S,M,X,,02/15/2023,03/20/2025
2025Q1,GA0030001,7,11/07/2022,ST,LV1A,N,N,N,N,N,N,N,N,N,N,N,"No deficiencies found by operator, Chris Wall.",02/15/2023,03/20/2025
2025Q1,GA0030004,1,12/05/2006,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,05/18/2007,06/18/2018
2025Q1,GA0030004,3,07/17/2017,ST,SNSV,N,N,N,Z,Z,N,M,N,N,N,Z,,11/15/2017,03/20/2025
2025Q1,GA0030005,2,07/17/2012,ST,SNSV,Z,N,Z,Z,Z,Z,Z,N,N,N,Z,,05/14/2013,09/28/2022
2025Q1,GA0030005,3,07/17/2017,ST,SNSV,N,N,N,Z,Z,N,M,N,N,N,Z,,11/15/2017,03/20/2025
2025Q1,GA0030006,3,03/13/2013,ST,SNSV,N,N,N,Z,Z,N,N,N,N,N,X,,05/14/2013,03/28/2023
2025Q1,GA0050007,3,03/21/2013,ST,SNSV,R,N,N,Z,Z,N,N,N,N,N,X,,05/14/2013,03/12/2020
2025Q1,GA0050008,3,03/14/2013,ST,SNSV,N,R,N,N,Z,N,N,N,R,N,N,,05/14/2013,03/28/2023
2025Q1,GA0030006,5,06/08/2020,ST,SNSV,N,N,N,Z,N,N,N,N,N,N,X,,06/25/2020,03/20/2025
2025Q1,GA0030008,1,06/18/2024,ST,SNSV,N,M,Z,Z,Z,N,N,M,M,N,X,,08/12/2024,03/20/2025
2025Q1,GA0050000,4,03/31/2017,ST,SNSV,R,M,N,Z,Z,N,M,R,R,M,X,,05/26/2017,06/24/2020
2025Q1,GA0050001,2,02/05/2009,ST,SNSV,N,N,,N,N,N,N,N,N,N,,,05/19/2009,03/21/2012
2025Q1,GA0050001,4,01/17/2019,ST,SNSV,N,R,N,N,Z,N,N,N,N,N,X,,05/21/2019,03/17/2022
2025Q1,GA0070000,7,02/20/2019,ST,SSVF,Z,M,Z,Z,Z,Z,Z,N,Z,Z,Z,,05/21/2019,03/17/2022
2025Q1,GA0050007,5,03/30/2021,ST,SNSV,R,N,N,Z,Z,N,M,N,N,N,X,,05/14/2021,09/19/2024
2025Q1,GA0050021,1,08/15/2023,ST,SNSV,N,R,N,Z,Z,N,M,N,R,N,X,,11/28/2023,03/20/2025
2025Q1,GA0050022,1,08/15/2023,ST,SNSV,N,N,N,Z,Z,N,N,R,N,N,X,,11/28/2023,03/20/2025
2025Q1,GA0070000,3,05/07/2009,ST,SNSV,N,N,,N,X,N,N,N,R,N,,,08/20/2009,06/18/2018
2025Q1,GA0070005,2,04/15/2009,ST,SNSV,R,M,,N,X,N,N,N,M,N,,,08/20/2009,03/12/2020
2025Q1,GA0070000,4,12/19/2012,ST,SNSV,N,M,N,N,N,N,N,N,R,N,N,,08/19/2014,03/12/2020
2025Q1,GA0070005,5,08/22/2024,ST,SNSV,N,M,N,Z,Z,N,N,N,N,N,Z,,11/14/2024,03/20/2025
2025Q1,GA0070006,4,11/19/2014,ST,SNSV,N,R,N,Z,Z,N,R,N,R,R,X,,02/16/2015,12/18/2024
2025Q1,GA0070006,6,08/22/2024,ST,SNSV,N,N,N,N,Z,N,N,N,R,N,X,,11/14/2024,03/20/2025
2025Q1,GA0090000,1,03/01/2005,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,05/18/2007,05/18/2010
2025Q1,GA0090000,2,06/18/2008,ST,SNSV,R,R,,N,X,N,N,N,N,N,,,03/13/2009,03/21/2012
2025Q1,GA0090000,3,03/13/2013,ST,SNSV,N,N,N,N,N,N,N,N,R,N,N,,08/16/2013,06/18/2018
2025Q1,GA0090000,5,03/20/2019,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,Z,,05/21/2019,03/17/2022
2025Q1,GA0090001,1,03/19/2003,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,11/15/2005,05/18/2006
2025Q1,GA0090001,10,08/28/2007,ST,SRCE,X,R,,X,X,X,X,R,X,X,,,11/16/2007,08/27/2010
2025Q1,GA0090001,11,04/13/2009,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,08/20/2009,06/18/2018
2025Q1,GA0090001,12,08/03/2009,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,11/16/2009,06/18/2018
2025Q1,GA0090001,13,10/08/2009,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,02/16/2010,06/18/2018
2025Q1,GA0090001,14,01/20/2010,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,05/18/2010,06/18/2018
2025Q1,GA0090001,15,04/08/2010,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,08/27/2010,06/18/2018
2025Q1,GA0090001,16,02/29/2012,ST,TRTP,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,,06/07/2012,06/18/2018
2025Q1,GA0090001,17,07/20/2010,ST,TRTP,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,,08/21/2012,06/18/2018
2025Q1,GA0090001,18,04/18/2011,ST,TRTP,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,,08/21/2012,06/18/2018
2025Q1,GA0090001,19,08/30/2011,ST,TRTP,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,,08/21/2012,06/18/2018
2025Q1,GA0090001,2,03/27/2003,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,11/15/2005,05/18/2006
2025Q1,GA0090001,22,04/06/2015,ST,TRTP,N,N,N,N,N,N,N,N,N,N,N,,08/24/2015,03/12/2020
2025Q1,GA0090001,23,07/28/2015,ST,TRTP,N,N,N,N,N,N,N,N,N,N,N,,11/19/2015,03/12/2020
2025Q1,GA0090001,24,04/30/2013,ST,TRTP,N,N,N,N,N,N,N,N,N,N,N,,02/22/2016,03/12/2020
2025Q1,GA0090001,25,08/17/2015,ST,SNSV,N,N,M,M,N,N,N,N,M,M,N,,11/19/2015,03/12/2020
2025Q1,GA0090001,28,05/13/2021,ST,SNSV,N,R,N,R,Z,N,N,R,M,R,X,,08/09/2021,09/19/2024
2025Q1,GA0090001,29,02/21/2024,ST,SNSV,M,R,R,R,Z,N,R,M,S,M,X,,05/21/2024,03/20/2025
2025Q1,GA0090001,3,06/10/2003,ST,TECH,N,N,,N,X,N,N,R,N,R,,,11/15/2005,08/22/2006
2025Q1,GA0090001,4,07/28/2003,ST,TECH,N,N,,N,X,N,N,R,R,R,,,11/15/2005,08/22/2006
2025Q1,GA0090001,5,08/26/2003,ST,SNSV,R,N,,R,X,R,N,R,N,R,,,11/15/2005,05/28/2008
2025Q1,GA0090001,6,08/18/2003,ST,TECH,N,N,,N,X,R,N,R,N,R,,,11/15/2005,08/22/2006
2025Q1,GA0090001,7,01/29/2004,ST,TRTP,N,N,,R,X,N,N,R,R,R,,,11/15/2005,02/13/2007
2025Q1,GA0090001,8,02/24/2005,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,11/15/2005,02/25/2008
2025Q1,GA0090001,9,08/30/2006,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,11/22/2006,08/20/2009
2025Q1,GA0090004,1,01/31/2007,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,05/18/2007,03/12/2020
2025Q1,GA0090042,1,10/26/2006,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,05/18/2007,05/18/2010
2025Q1,GA0090042,3,08/27/2014,ST,SNSV,N,R,N,N,N,N,N,N,N,N,N,,02/16/2015,09/21/2020
2025Q1,GA0090042,6,06/16/2020,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,X,,06/25/2020,06/27/2023
2025Q1,GA0090045,1,10/26/2006,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,05/18/2007,06/18/2018
2025Q1,GA0090045,3,08/27/2014,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,X,,02/16/2015,09/19/2024
2025Q1,GA0090046,1,08/30/2004,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,05/18/2007,05/18/2010
2025Q1,GA0090046,2,10/29/2008,ST,SNSV,N,M,,N,X,N,N,R,N,N,,,03/13/2009,03/21/2012
2025Q1,GA0090046,3,01/30/2013,ST,SNSV,N,R,N,N,Z,N,N,R,N,N,X,,05/14/2013,03/12/2020
2025Q1,GA0090046,5,03/13/2019,ST,SNSV,N,N,N,N,Z,N,R,N,N,M,X,,05/21/2019,03/17/2022
2025Q1,GA0090046,6,03/14/2019,ST,SSVF,N,N,N,N,Z,N,N,N,N,M,X,,05/21/2019,03/17/2022
2025Q1,GA0090046,7,04/07/2022,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,X,,08/16/2022,03/20/2025
2025Q1,GA0090047,1,03/20/2008,ST,SNSV,R,R,,N,N,N,N,N,R,R,,,05/28/2008,03/12/2020
2025Q1,GA0090047,2,11/03/2011,ST,SNSV,R,R,Z,N,Z,N,N,R,R,N,Z,,08/21/2012,12/20/2021
2025Q1,GA0090047,3,08/05/2015,ST,SNSV,N,M,N,N,Z,N,R,R,N,N,X,,11/19/2015,03/20/2025
2025Q1,GA0090047,4,08/05/2020,ST,SNSV,R,R,N,R,Z,N,R,R,R,R,X,,11/16/2020,03/20/2025
2025Q1,GA0090048,1,10/20/2004,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,05/18/2007,05/18/2010
2025Q1,GA0090048,2,10/29/2008,ST,SNSV,N,R,,N,X,N,N,R,R,R,,,03/13/2009,03/21/2012
2025Q1,GA0090048,3,01/30/2013,ST,SNSV,Z,N,Z,Z,Z,Z,Z,R,R,N,Z,,05/14/2013,06/18/2018
2025Q1,GA0090049,1,10/20/2004,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,05/18/2007,06/18/2018
2025Q1,GA0110000,1,03/23/2004,ST,SNSV,R,R,,X,X,X,N,N,N,R,,,11/15/2005,05/18/2007
2025Q1,GA0110000,2,03/24/2004,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,05/18/2007,05/18/2010
2025Q1,GA0110000,3,03/18/2008,ST,SNSV,R,M,,N,R,R,R,R,N,N,,,05/28/2008,05/26/2011
2025Q1,GA0110000,4,03/19/2013,ST,SNSV,N,M,N,R,Z,N,M,N,N,M,X,,05/16/2014,03/12/2020
2025Q1,GA0110000,6,02/26/2019,ST,SNSV,M,N,N,Z,Z,N,M,R,M,Z,X,,05/21/2019,06/20/2024
2025Q1,GA0110000,7,01/27/2021,ST,SITE,N,N,N,N,Z,N,N,N,N,N,X,,05/14/2021,03/20/2025
2025Q1,GA0110001,1,01/12/2001,ST,SNSV,X,X,,X,X,X,X,X,X,X,,,11/15/2005,05/28/2008
2025Q1,GA0110001,2,01/20/2005,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/15/2005,05/18/2010
2025Q1,GA0110001,3,08/13/2009,ST,SNSV,R,R,,R,R,N,R,R,R,R,,,05/18/2010,06/18/2018
2025Q1,GA0110001,6,08/24/2021,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,X,,11/22/2021,09/19/2024
2025Q1,GA0110001,7,09/16/2024,ST,SNSV,N,M,N,X,Z,N,R,R,N,N,X,,11/14/2024,03/20/2025
2025Q1,GA0110018,1,01/13/2004,ST,TRTP,R,N,,N,X,N,N,R,N,R,,,11/15/2005,06/18/2018
2025Q1,GA0110018,2,11/02/2005,ST,SSVF,X,X,,X,X,X,X,X,X,X,,,02/16/2006,06/18/2018
2025Q1,GA0110018,3,02/26/2007,ST,TECH,X,X,,X,X,X,X,X,X,X,,,05/18/2007,03/12/2020
2025Q1,GA0110026,1,01/23/2003,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,11/15/2005,05/18/2006
2025Q1,GA0110026,10,06/22/2006,ST,INFI,X,X,,X,X,X,X,X,X,X,,,08/22/2006,08/20/2009
2025Q1,GA0110026,11,09/27/2006,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,11/22/2006,11/16/2009
2025Q1,GA0110026,13,12/28/2006,ST,TRTP,X,X,,X,X,X,X,X,X,X,,,05/18/2007,02/16/2010
2025Q1,GA0110026,14,02/26/2007,ST,SRCE,X,X,,X,X,X,X,X,X,X,,,05/18/2007,02/16/2010
2025Q1,GA0110026,15,05/24/2007,ST,SNSV,N,R,,N,X,N,R,R,N,R,,,08/29/2007,05/18/2010
2025Q1,GA0110026,16,07/21/2008,ST,TRTP,R,X,,X,X,X,X,R,R,R,,,12/03/2008,08/18/2011
